,BGc,,BGp,,CZc,,CZp,,DEc,,DEp,,DKc,,DKp,,ESc,,ESp,,FIc,,FIp,,HRc,,HRp,,HUc,,HUp,,ITc,,ITp,,IEc,,NLc,,NLp,,PLc,,PLp,,ROc,,ROp,,GRc,,GRp,,
,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,b,t,
main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10._at,0.2577675,8.564246,0.4683749,7.448725,0.2446473,7.44777,1.513498,15.78649,0.3579195,10.27809,1.511875,19.58177,0.332283,4.603578,1.458998,16.40756,0.5723772,5.999007,1.727056,22.06762,0.501085,7.764454,0.9359203,8.384807,0.0814377,2.013428,1.685589,18.86615,0.0604981,1.338441,1.678782,18.12988,0.7059736,9.836814,1.878981,22.73632,-0.0181183,-0.1591354,0.0720257,0.8614461,1.635189,17.21213,0.1362255,11.66107,0.7675049,8.060085,0.0264823,1.104953,-0.1141831,-3.532074,0.2287737,3.011998,1.177431,9.41781,
11._at,0.2556125,8.367879,0.439203,7.492823,0.2459647,7.631753,1.45669,16.62137,0.3633183,10.72662,1.423684,19.70718,0.344725,4.737293,1.364638,15.53014,0.5617681,5.910029,1.696479,21.7113,0.5059099,7.900872,0.8314614,7.809957,0.0867168,2.127765,1.663158,20.31189,0.0475208,1.193545,1.665604,18.19205,0.7095872,9.862984,1.755715,22.74666,0.0207967,0.1800893,0.0831164,0.9899637,1.533165,16.6531,0.139105,12.11244,0.7479652,8.62744,0.0198389,0.8355269,-0.0992929,-2.95642,0.2139612,2.796175,1.068909,8.750298,
12._at,0.2658066,8.37991,0.4065849,7.281218,0.247245,7.700858,1.35608,16.03501,0.3655122,11.05952,1.322999,18.77611,0.3289303,4.535496,1.27987,14.88045,0.5769665,5.946889,1.664797,22.7477,0.515856,8.094849,0.7004964,8.185018,0.0883242,2.179351,1.597196,19.20609,0.0599856,1.585923,1.589546,18.1811,0.72189,9.867581,1.656096,19.61062,0.0222194,0.1903234,0.1108832,1.329292,1.39865,15.41483,0.1381214,12.16414,0.7103256,8.881589,0.0091771,0.3817701,-0.0842159,-2.576984,0.1834877,2.355967,0.9945631,8.276117,
13._at,0.2705739,8.416301,0.3635575,5.526368,0.2327655,7.299296,1.32602,15.418,0.3661398,11.43301,1.261193,17.56953,0.3361224,4.761515,1.246076,13.8761,0.5748274,6.091897,1.576352,21.33858,0.5296823,8.350755,0.7780112,8.980786,0.126291,1.912465,1.548256,19.06266,0.1084113,1.565887,1.562719,17.45991,0.7193711,9.757057,1.675021,20.15004,0.0234659,0.2028083,0.1409944,1.674036,1.409176,15.73106,0.1331081,11.69553,0.7126096,9.203507,0.0146179,0.5924263,-0.0684634,-2.112864,0.1947946,2.506292,0.9407214,6.978121,
14._at,0.2574599,8.102931,0.4455957,6.071305,0.241913,7.538861,1.367171,15.23324,0.3678354,11.58068,1.300602,18.44097,0.3056242,4.283261,1.300734,13.81997,0.6031046,6.313822,1.543401,21.04825,0.5718262,8.419362,0.7626726,7.551124,0.1068499,2.155391,1.587244,19.21652,0.0142049,0.3699328,1.606705,17.5754,0.7120991,9.566769,1.772384,21.57658,0.0816613,0.6825696,0.1683882,1.974121,1.518398,18.35117,0.1346414,11.84726,0.7218447,8.542429,0.0085482,0.3434959,-0.0605199,-1.896864,0.1454612,1.853848,1.125907,8.381297,
15._at,0.2484171,7.944388,0.5170716,7.091248,0.2344738,7.284776,1.440017,16.19424,0.3564134,11.16069,1.39667,19.73055,0.3499495,4.754246,1.397626,15.25273,0.6144996,6.534031,1.517732,20.46395,0.5410855,8.437415,0.8395131,8.363712,0.1076522,2.246614,1.667781,18.87439,0.0152114,0.3906753,1.641125,17.19065,0.7013371,9.436649,1.854423,23.31752,0.097974,0.8141535,0.1684989,2.001156,1.681491,24.27012,0.1259369,10.93963,0.7474307,8.736715,-0.0040979,-0.1691591,-0.0673419,-2.157747,0.1074609,1.357373,1.27824,9.428621,
16._at,0.2420275,8.021937,0.60087,9.268363,0.2235688,7.080459,1.635249,17.0584,0.3394759,10.21466,1.600902,19.35625,0.3587247,4.82809,1.633639,17.25049,0.6159518,6.513438,1.56158,19.1344,0.5212088,8.147736,0.9685305,8.858648,0.1018261,2.132242,1.75231,20.60639,-0.0065604,-0.1648451,1.772931,20.26448,0.684309,9.196611,1.989686,27.60311,0.0611483,0.5178591,0.1466071,1.731678,1.944171,27.40447,0.1028255,8.797223,0.8160909,9.059908,-0.0153749,-0.6363109,-0.0670693,-2.195168,0.1078435,1.369528,1.541958,11.28646,
17._at,0.235957,8.047501,0.7260087,11.50394,0.1881743,6.181349,1.92593,19.24336,0.3231453,9.533495,1.866979,20.39677,0.3308303,4.463313,1.898725,18.69486,0.6035522,6.287857,1.674033,18.81343,0.4921201,7.689481,1.170876,9.771403,0.0930184,2.001704,1.926708,23.25942,-0.0241997,-0.5987349,1.944225,20.34387,0.6796006,9.208498,2.144065,28.26384,0.0083752,0.0695952,0.1111754,1.311472,2.175994,25.03971,0.0781953,6.492991,0.9407809,9.900544,-0.0246744,-1.0137,-0.0868513,-2.976744,0.0211385,0.271154,1.738676,12.9026,
18._at,0.2431926,8.529806,0.8947422,14.37935,0.1726289,5.82014,2.125933,21.10388,0.3558855,10.31094,2.046262,21.28551,0.3052381,4.241106,2.012596,19.06539,0.6281806,6.497,1.844324,21.56075,0.4713607,7.385008,1.14459,9.392687,0.0937805,2.04563,2.153952,22.82003,-0.020391,-0.4983984,2.247793,21.96898,0.6469227,8.696822,2.405253,25.79672,-0.046486,-0.382428,0.0941423,1.141575,2.288879,23.27558,0.0594664,4.953622,1.133554,10.91886,-0.0008059,-0.0320771,-0.0918203,-2.853738,0.0490696,0.6541099,1.962468,15.99543,
19._at,0.2561393,8.978445,0.8815464,13.60435,0.1705062,5.657905,2.042445,20.77711,0.4025965,11.46604,2.020488,21.24829,0.3007193,4.306693,1.989566,19.25096,0.6748369,7.000304,2.019957,22.54287,0.479499,7.175038,1.059463,9.02411,0.1206938,2.273987,2.204295,21.39283,0.0019084,0.047336,2.223823,20.53933,0.6248026,8.509003,2.494978,22.91019,-0.0984631,-0.8122322,0.0833638,1.016691,2.264692,22.23134,0.0615679,5.15925,1.245949,11.64714,0.0319553,1.207384,-0.1219454,-3.541511,0.1377285,1.841177,1.939615,16.55274,
